Sitename,SPECIES,COMMONNAME,LAT,LONG
"Kelly's Bay Strand, Skerries",Fraxinus excelsior,Common Ash,53.58269761,-6.129321299
"The Brambles, Skerries",Acer campestre,Field Maple,53.57756668,-6.118462879
"The Brambles, Skerries",Acer campestre,Field Maple,53.57772546,-6.11792041
"The Brambles, Skerries",Acer campestre,Field Maple,53.57768007,-6.118067982
"The Brambles, Skerries",Acer campestre,Field Maple,53.5777695,-6.117755382
"The Brambles, Skerries",Acer campestre,Field Maple,53.57790062,-6.117305337
"The Brambles, Skerries",Acer campestre,Field Maple,53.57762105,-6.118257683
"The Brambles, Skerries",Acer campestre,Field Maple,53.57774066,-6.118223831
"Kelly's Bay Shore, Skerries",Acer campestre,Field Maple,53.58362483,-6.127928168
"The Brambles, Skerries",Acer campestre,Field Maple,53.57769172,-6.118391944
"The Brambles, Skerries",Acer campestre,Field Maple,53.57750688,-6.11867194
"The Brambles, Skerries",Acer campestre,Field Maple,53.57788971,-6.117691001
"The Brambles, Skerries",Acer campestre,Field Maple,53.57760193,-6.118715732
"The Brambles, Skerries",Acer campestre,Field Maple,53.57745076,-6.118868909
"The Brambles, Skerries",Acer campestre,Field Maple,53.57754839,-6.118899602
"The Brambles, Skerries",Acer campestre,Field Maple,53.57752078,-6.119063897
"Kelly's Bay Promenade, Skerries",Acer campestre,Field Maple,53.5822493,-6.130171342
"The Brambles, Skerries",Acer campestre,Field Maple,53.57784858,-6.117835668
"The Brambles, Skerries",Acer campestre,Field Maple,53.5777935,-6.118029875
"Deerpark Lawn, Castleknock",Acer campestre,Field Maple,53.37278406,-6.34667186
"Homeleigh, Castleknock",Acer campestre,Field Maple,53.3692495,-6.399422778
"Stockton Green, Castleknock",Acer campestre,Field Maple,53.3728442,-6.357708602
"Dunsandle Grove, Castleknock",Acer campestre,Field Maple,53.3720256,-6.355152853
"Dunsandle Grove, Castleknock",Acer campestre,Field Maple,53.37231872,-6.355804938
"Dunsandle Grove, Castleknock",Acer campestre,Field Maple,53.37178828,-6.355792322
"Georgian Village, Castleknock",Acer campestre,Field Maple,53.36853979,-6.356734361
"Georgian Village, Castleknock",Acer campestre,Field Maple,53.36866421,-6.355296991
"Hawthorn Lawn, Castleknock",Acer campestre,Field Maple,53.37804854,-6.363202702
"Hawthorn Lawn, Castleknock",Acer campestre,Field Maple,53.37839323,-6.363391451
"Homeleigh, Castleknock",Acer campestre,Field Maple,53.3696843,-6.399373416
"Homeleigh, Castleknock",Acer campestre,Field Maple,53.3696843,-6.399373416
"Parkview, Castleknock",Acer campestre,Field Maple,53.37114333,-6.347782999
"Stockton Green, Castleknock",Acer campestre,Field Maple,53.37283406,-6.357147776
"Stockton Green, Castleknock",Acer campestre,Field Maple,53.37283546,-6.357426302
"Stockton Green, Castleknock",Acer campestre,Field Maple,53.37284223,-6.357565331
"Stockton Green, Castleknock",Acer campestre,Field Maple,53.37320526,-6.358133013
"Deerpark Drive, Castleknock",Acer campestre,Field Maple,53.37371625,-6.349272687
"Deerpark Drive, Castleknock",Acer campestre,Field Maple,53.37371625,-6.349272687
"Deerpark Drive, Castleknock",Acer campestre,Field Maple,53.37371625,-6.349272687
"Park Drive Green, Castleknock",Acer campestre,Field Maple,53.37409659,-6.370443574
"Park Drive Grove, Castleknock",Acer campestre,Field Maple,53.37708233,-6.366472007
"Park Drive Grove, Castleknock",Acer campestre,Field Maple,53.37725472,-6.36679661
"Park Drive Lawn, Castleknock",Acer campestre,Field Maple,53.37673794,-6.366639374
"Glenville Garth, Blanchardstown",Acer campestre,Field Maple,53.3808919,-6.391072324
"Glenville Lawn, Blanchardstown",Acer campestre,Field Maple,53.38135901,-6.389176254
"Porter's Gate Heights, Blanchardstown",Acer campestre,Field Maple,53.38754833,-6.421621879
"Porter's Gate Heights, Blanchardstown",Acer campestre,Field Maple,53.38749241,-6.421565028
"Porter's Gate Close, Blanchardstown",Acer campestre,Field Maple,53.38569059,-6.424089762
"Porter's Gate Close, Blanchardstown",Acer campestre,Field Maple,53.38573519,-6.4239563
"Porter's Gate Close, Blanchardstown",Acer campestre,Field Maple,53.38578706,-6.423801073
"Westway Grove, Blanchardstown",Acer campestre,Field Maple,53.39924896,-6.369833411
"Westway Lawn, Blanchardstown",Acer campestre,Field Maple,53.39907546,-6.371506986
"Westway Park, Blanchardstown",Acer campestre,Field Maple,53.40025725,-6.367925033
"Westway Rise, Blanchardstown",Acer campestre,Field Maple,53.40047796,-6.369253697
"Westway View, Blanchardstown",Acer campestre,Field Maple,53.39978311,-6.369993407
"Porter's Gate Close, Blanchardstown",Acer campestre,Field Maple,53.38578706,-6.423801073
"Porter's Gate Heights, Blanchardstown",Acer campestre,Field Maple,53.38676671,-6.420920317
"Porter's Gate Heights, Blanchardstown",Acer campestre,Field Maple,53.38715032,-6.420560255
"Porter's Gate Heights, Blanchardstown",Acer campestre,Field Maple,53.38709044,-6.420496488
"Porter's Gate Heights, Blanchardstown",Acer campestre,Field Maple,53.3869483,-6.420341975
"Porter's Gate Heights, Blanchardstown",Acer campestre,Field Maple,53.38683669,-6.420212487
"Porter's Gate Heights, Blanchardstown",Acer campestre,Field Maple,53.38725131,-6.420667893
"Porter's Gate Heights, Blanchardstown",Acer campestre,Field Maple,53.38719161,-6.420604269
"Woodvale Drive, Blanchardstown",Acer campestre,Field Maple,53.39324888,-6.408750109
"Westway Close, Blanchardstown",Acer campestre,Field Maple,53.4011827,-6.370324501
"Oakview Lawn, Blanchardstown",Acer campestre,Field Maple,53.39204521,-6.41743362
"Porter's Gate Close, Blanchardstown",Acer campestre,Field Maple,53.3858403,-6.424832439
"Porter's Gate Crescent, Blanchardstown",Acer campestre,Field Maple,53.38490313,-6.426941341
"Porter's Gate Crescent, Blanchardstown",Acer campestre,Field Maple,53.38482962,-6.426539144
"Westway Close, Blanchardstown",Acer campestre,Field Maple,53.40090072,-6.369982093
"Westway Close, Blanchardstown",Acer campestre,Field Maple,53.40107152,-6.370447835
"Westway View, Blanchardstown",Acer campestre,Field Maple,53.40012793,-6.36972567
"Inglewood Drive, Blanchardstown",Acer campestre,Field Maple,53.39051991,-6.411296904
"Inglewood Road, Blanchardstown",Acer campestre,Field Maple,53.39067665,-6.410111048
"Blakestown Way, Blanchardstown",Acer campestre,Field Maple,53.3975303,-6.400984509
"Roselawn Road, Blanchardstown",Acer campestre,Field Maple,53.38212398,-6.373317819
"Roselawn Road, Blanchardstown",Acer campestre,Field Maple,53.38140758,-6.379542589
"Roselawn Road, Blanchardstown",Acer campestre,Field Maple,53.38140758,-6.379542589
"Beechpark Lawn, Blanchardstown",Acer campestre,Field Maple,53.37621143,-6.362009711
"Deerpark Drive, Blanchardstown",Acer campestre,Field Maple,53.37406141,-6.351099457
"Deerpark Lawn, Blanchardstown",Acer campestre,Field Maple,53.37230954,-6.346077648
"Deerpark Road, Blanchardstown",Acer campestre,Field Maple,53.37404018,-6.352183825
"Delwood Road, Blanchardstown",Acer campestre,Field Maple,53.3813855,-6.385643631
"Georgian Village, Castleknock",Acer campestre,Field Maple,53.36856902,-6.351804487
"Glenville Court, Blanchardstown",Acer campestre,Field Maple,53.38163674,-6.391452413
"Glenville Court, Blanchardstown",Acer campestre,Field Maple,53.38170986,-6.391090465
"Lohunda Downs, Blanchardstown",Acer campestre,Field Maple,53.38743656,-6.40627481
"Lohunda Downs, Blanchardstown",Acer campestre,Field Maple,53.38748624,-6.406254014
"Lohunda Downs, Blanchardstown",Acer campestre,Field Maple,53.38783407,-6.406084842
"Lohunda Downs, Blanchardstown",Acer campestre,Field Maple,53.38795268,-6.406044033
"Lohunda Downs, Blanchardstown",Acer campestre,Field Maple,53.38801902,-6.406012392
"Woodview Grove, Blanchardstown",Acer campestre,Field Maple,53.38347201,-6.387143362
"Woodview Grove, Blanchardstown",Acer campestre,Field Maple,53.38343312,-6.387211413
"Glenville Green, Blanchardstown",Acer campestre,Field Maple,53.3831616,-6.385473154
"Glenville Road, Blanchardstown",Acer campestre,Field Maple,53.38170463,-6.387381371
"Glenville Road, Blanchardstown",Acer campestre,Field Maple,53.38142671,-6.386903893
"Inglewood Road, Blanchardstown",Acer campestre,Field Maple,53.39036686,-6.410087424
"Inglewood Road, Blanchardstown",Acer campestre,Field Maple,53.39004498,-6.4101346
"Inglewood Road, Blanchardstown",Acer campestre,Field Maple,53.38997444,-6.410154817
"Inglewood Road, Blanchardstown",Acer campestre,Field Maple,53.3897368,-6.410225007
"Inglewood Road, Blanchardstown",Acer campestre,Field Maple,53.38950999,-6.410325606
"Inglewood Road, Blanchardstown",Acer campestre,Field Maple,53.38945511,-6.41034073
"Roselawn Road, Blanchardstown",Acer campestre,Field Maple,53.38188455,-6.377326925
"Roselawn Road, Blanchardstown",Acer campestre,Field Maple,53.38220703,-6.372811325
"Porter's Gate Heights, Blanchardstown",Acer campestre,Field Maple,53.38639726,-6.420305721
"Porter's Gate Heights, Blanchardstown",Acer campestre,Field Maple,53.38651055,-6.420541863
"Porter's Gate Heights, Blanchardstown",Acer campestre,Field Maple,53.38634324,-6.420128108
"Porter's Gate Heights, Blanchardstown",Acer campestre,Field Maple,53.38679677,-6.42005419
"Porter's Gate Heights, Blanchardstown",Acer campestre,Field Maple,53.38677832,-6.419977916
"Porter's Gate Heights, Blanchardstown",Acer campestre,Field Maple,53.3867518,-6.419868122
"Porter's Gate Crescent, Blanchardstown",Acer campestre,Field Maple,53.38481316,-6.426401626
"Porter's Gate Close, Blanchardstown",Acer campestre,Field Maple,53.38705534,-6.421069858
"Porter's Gate Heights, Blanchardstown",Acer campestre,Field Maple,53.38780675,-6.421232931
"Porter's Gate Heights, Blanchardstown",Acer campestre,Field Maple,53.38770471,-6.421127434
"Porter's Gate Heights, Blanchardstown",Acer campestre,Field Maple,53.38760294,-6.421022076
"Porter's Gate Heights, Blanchardstown",Acer campestre,Field Maple,53.38745972,-6.420873915
"Porter's Gate Heights, Blanchardstown",Acer campestre,Field Maple,53.38725131,-6.420667893
"Porter's Gate Heights, Blanchardstown",Acer campestre,Field Maple,53.38688798,-6.420271912
"Porter's Gate Heights, Blanchardstown",Acer campestre,Field Maple,53.38683669,-6.420212487
"Porter's Gate Heights, Blanchardstown",Acer campestre,Field Maple,53.38715032,-6.420560255
"Westway Rise, Blanchardstown",Acer campestre,Field Maple,53.40079938,-6.369253729
"Porter's Gate Close, Blanchardstown",Acer campestre,Field Maple,53.38564624,-6.424222315
"Westway Close, Blanchardstown",Acer campestre,Field Maple,53.4008402,-6.370037784
"Westway View, Blanchardstown",Acer campestre,Field Maple,53.39985771,-6.369350047
"Porter's Gate Avenue, Blanchardstown",Acer campestre,Field Maple,53.38595149,-6.42191034
"Porter's Gate Close, Blanchardstown",Acer campestre,Field Maple,53.38605523,-6.424198336
"Porter's Gate Close, Blanchardstown",Acer campestre,Field Maple,53.38605523,-6.424198336
"Porter's Gate Close, Blanchardstown",Acer campestre,Field Maple,53.38605523,-6.424198336
"Porter's Gate Heights, Blanchardstown",Acer campestre,Field Maple,53.38767099,-6.421744349
"Porter's Gate Heights, Blanchardstown",Acer campestre,Field Maple,53.38735622,-6.42142532
"Porter's Gate Heights, Blanchardstown",Acer campestre,Field Maple,53.38728481,-6.421380015
"Porter's Gate Crescent, Blanchardstown",Acer campestre,Field Maple,53.38474989,-6.425882723
"Westway View, Blanchardstown",Acer campestre,Field Maple,53.39983654,-6.370135102
"Porter's Gate Heights, Blanchardstown",Acer campestre,Field Maple,53.38668831,-6.419606238
